代號,名稱,收盤價,月平均價
1101,台泥,34.7,35.75,
1102,亞泥,32.55,33.29,
1103,嘉泥,13.0,12.4,
1104,環泥,19.15,19.11,
1108,幸福,7.25,7.22,
1109,信大,14.85,14.05,
1110,東泥,14.0,13.86,
1201,味全,21.0,20.51,
1203,味王,25.25,25.51,
1210,大成,31.6,31.15,
1213,大飲,9.8,9.96,
1215,卜蜂,44.3,44.07,
1216,統一,73.8,74.75,
1217,愛之味,6.85,6.81,
1218,泰山,16.2,15.93,
1219,福壽,18.3,18.26,
1220,台榮,11.6,11.8,
1225,福懋油,--,74.97,
1227,佳格,49.7,47.47,
1229,聯華,30.05,30.72,
1231,聯華食,35.15,34.35,
1232,大統益,99.0,98.31,
1233,天仁,37.1,37.12,
1234,黑松,28.7,28.2,
1235,興泰,27.6,35.19,
1236,宏亞,13.4,13.65,
1256,鮮活果汁-KY,137.0,140.12,
1262,綠悅-KY,36.1,36.09,
1301,台塑,100.5,101.22,
1303,南亞,76.5,77.38,
1304,台聚,12.55,12.51,
1305,華夏,20.3,20.0,
1307,三芳,22.4,22.82,
1308,亞聚,13.75,14.04,
1309,台達化,10.35,10.74,
1310,台苯,24.65,23.59,
1312,國喬,22.65,22.31,
1313,聯成,11.65,11.65,
1314,中石化,11.2,11.27,
1315,達新,25.8,25.77,
1316,上曜,13.2,16.19,
1319,東陽,40.0,37.45,
1321,大洋,25.75,25.79,
1323,永裕,34.9,34.0,
1324,地球,10.65,10.96,
1325,恆大,16.65,16.89,
1326,台化,107.0,108.29,
1337,再生-KY,7.29,6.53,
1338,廣華-KY,69.0,72.09,
1339,昭輝,34.4,34.14,
1340,勝悅-KY,18.95,19.86,
1402,遠東新,28.45,30.5,
1409,新纖,11.3,11.02,
1410,南染,22.9,23.07,
1413,宏洲,11.4,11.76,
1414,東和,7.05,7.06,
1416,廣豐,13.85,13.85,
1417,嘉裕,4.45,4.45,
1418,東華,--,7.85,
1419,新紡,--,41.32,
1423,利華,10.25,10.51,
1432,大魯閣,8.04,8.08,
1434,福懋,34.0,34.02,
1435,中福,5.49,5.38,
1436,華友聯,37.25,37.49,
1437,勤益控,17.6,17.64,
1438,裕豐,7.12,7.33,
1439,中和,33.6,32.68,
1440,南紡,12.4,12.32,
1441,大東,13.1,12.0,
1442,名軒,15.45,15.56,
1443,立益,6.85,6.92,
