代號,五年均,y18,y17,y16,y15,y14,y13,y12,y11,y10,y09,y08,y07,y06,y05,y04,y03,y02,y01
1101,1.814,1.5,1.45,1.33,2.49,2.3,1.9,1.9,2,1.8,1.32,1.9,1.7,1.41,0.7,0.35,0.1,0,0
1102,1.440,1.2,0.9,1.1,2.2,1.8,1.7,2.3,1.9,1.8,1.8,2.4,1.5,1.2,1.2,0.65,0.5,0.2,0.25
1103,0.420,0.5,0.2,0.1,0.3,1,0,0.2,0.3,0.2,0,0,0,0,0,0,0,0,0
1104,1.040,1.1,1.2,1,1,0.9,0.75,0.6,1,0.5,0,0,0,0,0,0,0,0,0.1
1108,0.500,0,0.6,0.85,0.6,0.45,0,0,0,0.17,0,0.25,0.45,0.45,0.3,0.15,0.11,0,0
1109,0.360,0.1,0.1,0.2,0.2,1.2,0.38,0.35,0.28,0.35,0.2,0.5,0.6,0.5,0.5,0.3,0.5,0.1,0.3
1110,0.160,0.1,0.1,0.2,0.2,0.2,0.1,0.1,0.1,0.2,0,0.4,0.3,0.5,0.25,0,0.5,0,0
1201,0.120,0,0,0,0,0.6,0.6,0.6,0.6,0.6,0,0,0,0,0,0,0,0,0
1203,1.060,1.3,1,1,1,1,0.3,0.5,0.5,0.58,0.5,0,0,0,0,0,0,0,0
1210,1.240,2,1.5,0.7,1,1,1.2,1.19,1.19,1.2,1.2,1.48,0.99,1.09,0.31,0.2,0.5,1,0.45
1213,0.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1215,1.960,3,3,2,1,0.8,0.8,0.3,1,1,0.7,1,0.6,0,0,0,0,0.5,0.55
1216,2.500,5.5,2.1,2,1.4,1.5,1.4,1,1.4,0.8,0.44,2,0.6,0.65,0.36,0.6,0.35,0.6,0.6
1217,0.000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1218,0.080,0.4,0,0,0,0,0,0.2,0.35,0.2,0,0,0,0,0,0,0,0,0
1219,0.236,0.3,0.3,0.25,0.18,0.15,0.1,0.5,0.45,0.32,0,0.3,0.22,0.15,0,0.12,0.12,0.1,0
1220,0.440,0.4,0.65,0.5,0.3,0.35,0.4,0,0,0,0,0,0,0,0,0,0,0,0.2
1225,0.798,1.25,1.25,1,0.25,0.24,0.38,0.3,0.4,0,0,0.25,0,0,0,0,0,0,0
1227,1.680,2,1.6,1.6,1.6,1.6,2,2.4,2.5,2,1.4,0.9,1.3,1.1,1.1,0.5,0.6,0.5,0.6
